Field Name,Field Name lookup,Variable Name,Description
Receive Time (receive_time or cef-formatted-receive_time),Receive Time,receive_time,Time the log was received at the management plane.
Serial Number (serial),Serial Number,serial,Serial number of the firewall that generated the log.
Type (type),Type,type,Specifies the type of log; value is TRAFFIC.
Threat/Content Type (subtype),Threat/Content Type,subtype,"Subtype of traffic log; values are start, end, drop, and deny

Start—session started

End—session ended

Drop—session dropped before the application is identified and there is no rule that allows the session.

Deny—session dropped after the application is identified and there is a rule to block or no rule that allows the session."
Generated Time (time_generated or cef-formatted-time_generated),Generated Time,time_generated,Time the log was generated on the dataplane.
Source Address (src),Source Address,src,Original session source IP address.
Destination Address (dst),Destination Address,dst,Original session destination IP address.
NAT Source IP (natsrc),NAT Source IP,natsrc,"If Source NAT performed, the post-NAT Source IP address."
NAT Destination IP (natdst),NAT Destination IP,natdst,"If Destination NAT performed, the post-NAT Destination IP address."
Rule Name (rule),Rule Name,rule,Name of the rule that the session matched.
Source User (srcuser),Source User,srcuser,Username of the user who initiated the session.
Destination User (dstuser),Destination User,dstuser,Username of the user to which the session was destined.
Application (app),Application,app,Application associated with the session.
Virtual System (vsys),Virtual System,vsys,Virtual System associated with the session.
Source Zone (from),Source Zone,from,Zone the session was sourced from.
Destination Zone (to),Destination Zone,to,Zone the session was destined to.
Inbound Interface (inbound_if),Inbound Interface,inbound_if,Interface that the session was sourced from.
Outbound Interface (outbound_if),Outbound Interface,outbound_if,Interface that the session was destined to.
Log Action (logset),Log Action,logset,Log Forwarding Profile that was applied to the session.
Session ID (sessionid),Session ID,sessionid,An internal numerical identifier applied to each session.
Repeat Count (repeatcnt),Repeat Count,repeatcnt,"Number of sessions with same Source IP, Destination IP, Application, and Subtype seen within 5 seconds."
Source Port (sport),Source Port,sport,Source port utilized by the session.
Destination Port (dport),Destination Port,dport,Destination port utilized by the session.
NAT Source Port (natsport),NAT Source Port,natsport,Post-NAT source port.
NAT Destination Port (natdport),NAT Destination Port,natdport,Post-NAT destination port.
Flags (flags),Flags,flags,"32-bit field that provides details on session; this field can be decoded by AND-ing the values with the logged value:

0x80000000—session has a packet capture (PCAP)

0x40000000—option is enabled to allow a client to use multiple paths to connect to a destination host

0x20000000—indicates whether a sample has been submitted for analysis using the WildFire public or private cloud channel

0x10000000—enterprise credential submission by end user detected

0x08000000— source for the flow is on the allow list and not subject to recon protection

0x02000000—IPv6 session

0x01000000—SSL session is decrypted (SSL Proxy)

0x00800000—session is denied via URL filtering

0x00400000—session has a NAT translation performed

0x00200000—user information for the session was captured through Authentication Portal

0x00100000—application traffic is on a non-standard destination port

0x00080000 —X-Forwarded-For value from a proxy is in the source user field

0x00040000—log corresponds to a transaction within a http proxy session (Proxy Transaction)

0x00020000—Client to Server flow is subject to policy based forwarding

0x00010000—Server to Client flow is subject to policy based forwarding

0x00008000—session is a container page access (Container Page)

0x00002000—session has a temporary match on a rule for implicit application dependency handling. Available in PAN-OS 5.0.0 and above.

0x00000800—symmetric return is used to forward traffic for this session

0x00000400—decrypted traffic is being sent out clear text through a mirror port

0x00000100—payload of the outer tunnel is being inspected"
IP Protocol (proto),Protocol,proto,IP protocol associated with the session.
Action (action),Action,action,"Action taken for the session; possible values are:

allow—session was allowed by policy

deny—session was denied by policy

drop—session was dropped silently

drop ICMP—session was silently dropped with an ICMP unreachable message to the host or application

reset both—session was terminated and a TCP reset is sent to both the sides of the connection

reset client—session was terminated and a TCP reset is sent to the client

reset server—session was terminated and a TCP reset is sent to the server"
Bytes (bytes),Bytes,bytes,Number of total bytes (transmit and receive) for the session.
Bytes Sent (bytes_sent),Bytes Sent,bytes_sent,Number of bytes in the client-to-server direction of the session.
Bytes Received (bytes_received),Bytes Received,bytes_received,Number of bytes in the server-to-client direction of the session.
Packets (packets),Packets,packets,Number of total packets (transmit and receive) for the session.
Start Time (start),Start Time,start,Time of session start.
Elapsed Time (elapsed),Elapsed Time,elapsed,Elapsed time of the session.
Category (category),Category,category,URL category associated with the session (if applicable).
Sequence Number (seqno),Sequence Number,seqno,A 64-bit log entry identifier incremented sequentially; each log type has a unique number space.
Action Flags (actionflags),Action Flags,actionflags,A bit field indicating if the log was forwarded to Panorama.
Source Country (srcloc),Source Country,srcloc,Source country or Internal region for private addresses; maximum length is 32 bytes.
Destination Country (dstloc),Destination Country,dstloc,Destination country or Internal region for private addresses. Maximum length is 32 bytes.
Packets Sent (pkts_sent),Packets Sent,pkts_sent,Number of client-to-server packets for the session.
Packets Received (pkts_received),Packets Received,pkts_received,Number of server-to-client packets for the session.
