Field Name,Field Name lookup,Variable Name,Description
Receive Time (receive_time or cef-formatted-receive_time),Receive Time,receive_time,Time the log was received at the management plane.
Serial Number (serial),Serial Number,serial,Serial number of the firewall that generated the log.
Type (type),Type,type,Specifies the type of log; value is DECRYPTION.
Threat/ContentType (subtype),Threat/Content Type,subtype,Not used in the Decryption log.
Config Version (config_ver),Config Version,config_ver,The software version.
Generate Time (time_generated),Generated Time,time_generated,Time the log was generated on the dataplane.
Source Address (src),Source Address,src,Original session source IP address.
Destination Address (dst),Destination Address,dst,Original session destination IP address.
NAT Source IP (natsrc),NAT Source IP,natsrc,"If Source NAT performed, the post-NAT Source IP address."
NAT Destination IP (natdst),NAT Destination IP,natdst,"If Destination NAT performed, the post-NAT Destination IP address."
Rule (rule),Rule,rule,Security policy rule that controls the session traffic.
Source User (srcuser),Source User,srcuser,Username of the user who initiated the session.
Destination User (dstuser),Destination User,dstuser,Username of the user to which the session was destined.
Application (app),Application,app,Application associated with the session.
Virtual System (vsys),Virtual System,vsys,Virtual System associated with the session.
Source Zone (from),Source Zone,from,Zone the session was sourced from.
Destination Zone (to),Destination Zone,to,Zone the session was destined to.
Inbound Interface (inbound_if),Inbound Interface,inbound_if,Interface that the session was sourced from.
Outbound Interface (outbound_if),Outbound Interface,outbound_if,Interface that the session was destined to.
Log Action (logset),Log Action,logset,Log Forwarding profile applied to the session.
Time Logged (time_received),Time Logged,time_received,The time the log was received.
Session ID (sessionid),Session ID,sessionid,An internal numerical identifier applied to each session.
Repeat Count (repeatcnt),Repeat Count,repeatcnt,"Number of sessions with the same Source IP, Destination IP, Application, and Content/Threat Type seen within 5 seconds."
Source Port (sport),Source Port,sport,Source port utilized by the session.
Destination Port (dport),Destination Port,dport,Destination port utilized by the session.
NAT Source Port (natsport),NAT Source Port,natsport,Post-NAT source port.
NAT Destination Port (natdport),NAT Destination Port,natdport,Post-NAT destination port.
Flags (flags),Flags,flags,"32-bit field that provides details on session; this field can be decoded by AND-ing the values with the logged value:

0x80000000—session has a packet capture (PCAP)

0x40000000—option is enabled to allow a client to use multiple paths to connect to a destination host

0x20000000—file is submitted to WildFire for a verdict

0x10000000—enterprise credential submission by end user detected

0x08000000— source for the flow is on the allow list and not subject to recon protection

0x02000000—IPv6 session

0x01000000—SSL session is decrypted (SSL Proxy)

0x00800000—session is denied via URL filtering

0x00400000—session has a NAT translation performed

0x00200000—user information for the session was captured through Authentication Portal

0x00100000—application traffic is on a non-standard destination port

0x00080000 —X-Forwarded-For value from a proxy is in the source user field

0x00040000—log corresponds to a transaction within a http proxy session (Proxy Transaction)

0x00020000—Client to Server flow is subject to policy based forwarding

0x00010000—Server to Client flow is subject to policy based forwarding

0x00008000—session is a container page access (Container Page)

0x00002000—session has a temporary match on a rule for implicit application dependency handling. Available in PAN-OS 5.0.0 and above.

0x00000800—symmetric return is used to forward traffic for this session

0x00000400—decrypted traffic is being sent out clear text through a mirror port

0x00000100—payload of the outer tunnel is being inspected"
IP Protocol (proto),IP Protocol,proto,IP protocol associated with the session.
Action (action),Action,action,"Action taken for the session; possible values are:

allow—session was allowed by policy

deny—session was denied by policy

drop—session was dropped silently

drop ICMP—session was silently dropped with an ICMP unreachable message to the host or application

reset both—session was terminated and a TCP reset is sent to both the sides of the connection

reset client—session was terminated and a TCP reset is sent to the client

reset server—session was terminated and a TCP reset is sent to the server"
Tunnel (tunnel),Tunnel,tunnel,Type of tunnel.
Source VM UUID (src_uuid),Source VM UUID,src_uuid,The source universal unique identifier for a guest virtual machine in the VMware NSX environment.
Destination VM UUID (dst_uuid),Destination VM UUID,dst_uuid,The destination universal unique identifier for a guest virtual machine in the VMware NSX environment.
UUID for rule (rule_uuid),UUID for rule,rule_uuid,The UUID that permanently identifies the rule.
Stage for Client to Firewall (hs_stage_c2f),Stage for Client to Firewall,hs_stage_c2f,"The stage of the TLS handshake from the client to the firewall, for example, Client Hello, Server Hello, Certificate, Client/Server key exchange, etc."
Stage for Firewall to Server (hs_stage_f2s),Stage for Firewall to Server,hs_stage_f2s,The stage of the TLS handshake from the firewall to the server.
TLS Version (tls_version),TLS Version,tls_version,The version of TLS protocol used for the session.
Key Exchange Algorithm (tls_keyxchg),Key Exchange Algorithm,tls_keyxchg,The key exchange algorithm used for the session.
Encryption Algorithm (tls_enc),Encryption Algorithm,tls_enc,"The algorithm used to encrypt the session data, such as AES-128-CBC, AES-256-GCM, etc."
Hash Algorithm (tls_auth),Hash Algorithm,tls_auth,"The authentication algorithm used for the session, for example, SHA, SHA256, SHA384, etc."
Policy Name (policy_name),Policy Name,policy_name,The name of the Decryption policy associated with the session.
Elliptic Curve (ec_curve),Elliptic Curve,ec_curve,The elliptic cryptography curve that the client and server negotiate and use for connections that use ECDHE cipher suites.
Error Index (err_index),Error Index,err_index,"The type of error that occurred: Cipher, Resource, Resume, Version, Protocol, Certificate, Feature, or HSM."
Root Status (root_status),Root Status,root_status,"The status of the root certificate, for example, trusted, untrusted, or uninspected."
Chain Status (chain_status),Chain Status,chain_status,"Whether the chain is trusted. Values are:

Uninspected

Untrusted

Trusted

Incomplete"
Proxy Type (proxy_type),Proxy Type,proxy_type,"The Decryption proxy type, such as Forward for Forward Proxy, Inbound for Inbound Inspection, No Decrypt for undecrypted traffic, GlobalProtect, etc."
Certificate Serial Number (cert_serial),Certificate Serial Number,cert_serial,The unique identifier of the certificate (generated by the certificate issuer).
Certificate Fingerprint (fingerprint),Fingerprint,fingerprint,A hash of the certificate in x509 binary format.
Certificate Start Date (notbefore),Certificate Start Date,notbefore,The time the certificate became valid (certificate in invalid before this time).
Certificate End Date (notafter),Certificate End Date,notafter,The time the certificate expires (certificate becomes invalid after this time).
