Field Name,Field Name lookup,Variable Name,Description
Receive Time (receive_time or cef-formatted-receive_time),Receive Time,receive_time,"Month, Day and time the log was received at the management plane."
Serial Number (serial),Serial Number,serial,Serial number of the firewall that generated the log.
Type (type),Type,type,Specifies the type of log; value is GTP.
Threat/Content Type (subtype),Threat/Content Type,subtype,"Subtype of traffic log; values are start, end, drop, and deny

Start—session started

End—session ended

Drop—session dropped before the application is identified and there is no rule that allows the session.

Deny—session dropped after the application is identified and there is a rule to block or no rule that allows the session."
Generated Time (time_generated or cef-formatted-time_generated),Generated Time,time_generated,Time the log was generated on the dataplane.
Source Address (src),Source Address,src,Source IP address of packets in the session.
Destination Address (dst),Destination Address,dst,Destination IP address of packets in the session.
Rule Name (rule),Rule Name,rule,Name of the Security policy rule in effect on the session.
Application (app),Application,app,Tunneling protocol used in the session.
Virtual System (vsys),Virtual System,vsys,Virtual System associated with the session.
Source Zone (from),Source Zone,from,Source zone of packets in the session.
Destination Zone (to),Destination Zone,to,Destination zone of packets in the session.
Inbound Interface (inbound_if),Inbound Interface,inbound_if,Interface that the session was sourced from.
Outbound Interface (outbound_if),Outbound Interface,outbound_if,Interface that the session was destined to.
Log Action (logset),Log Action,logset,Log Forwarding Profile that was applied to the session.
Session ID (sessionid),Session ID,sessionid,Session ID of the session being logged.
Source Port (sport),Source Port,sport,Source port utilized by the session.
Destination Port (dport),Destination Port,dport,Destination port utilized by the session.
IP Protocol (proto),Protocol,proto,IP protocol associated with the session.
Action (action),Action,action,"Action taken for the session; possible values are:

allow—session was allowed by policy

deny—session was denied by policy"
GTP Event Type (event_type),GTP Event Type,event_type,Defines event triggered by a GTP message when checks in GTP protection profile are applied to the GTP traffic. Also triggered by the start or end of a GTP session.
MSISDN (msisdn),MSISDN,msisdn,"Service identity associated with the mobile subscriber composed of a Country Code, National Destination Code and a Subscriber. Consists of decimal digits (0-9) only with a maximum of 15 digits."
Access Point Name (apn),Access Point Name,apn,Reference to a Packet Data Network Data Gateway (PGW)/ Gateway GPRS Support Node in a mobile network. Composed of a mandatory APN Network Identifier and an optional APN Operator Identifier.
Radio Access Technology (rat),Radio Access Technology,rat,"Type of technology used for radio access. For example, EUTRAN, WLAN, Virtual, HSPA Evolution, GAN and GERAN."
GTP Message Type (msg_type),GTP Message Type,msg_type,Indicates the GTP message type.
End IP Address (end_ip_adr),End User IP Address,end_ip_adr,IP address of a mobile subscriber allocated by a PGW/GGSN.
Tunnel Endpoint Identifier1 (teid1),Tunnel Endpoint Identifier1,teid1,Identifies the GTP tunnel in the network node. TEID1 is the first TEID in the GTP message.
Tunnel Endpoint Identifier2 (teid2),Tunnel Endpoint Identifier2,teid2,Identifies the GTP tunnel in the network node. TEID2 is the second TEID in the GTP message.
GTP Interface (gtp_interface),GTP Interface,gtp_interface,3GPP interface from which a GTP message is received.
GTP Cause (cause_code),GTP Cause,cause_code,GTP cause value in logs responses which contain an Information Element that provides information about acceptance or rejection of GTP requests by a network node.
Severity (severity),Severity,severity,"Severity associated with the event; values are informational, low, medium, high, critical."
Serving Network MCC (mcc),Serving Country MCC,mcc,Mobile country code of serving core network operator.
Serving Network MNC (mnc),Serving Network MNC,mnc,Mobile network code of serving core network operator.
Area Code (area_code),Area Code,area_code,Area within a Public Land Mobile Network (PLMN).
Cell ID (cell_id),Cell ID,cell_id,Base station within an area code.
GTP Event Code (event_code),GTP Event Code,event_code,Event code describing the GTP event.
Source Location (srcloc),Source Location,srcloc,Source country or Internal region for private addresses; maximum length is 32 bytes.
Destination Location (dstloc),Destination Location,dstloc,Destination country or Internal region for private addresses; maximum length is 32 bytes.
Tunnel ID/IMSI (imsi),Tunnel ID/IMSI,imsi,International Mobile Subscriber Identity (IMSI) is a unique number allocated to each mobile subscriber in the GSM/UMTS/EPS system. IMSI shall consist of decimal digits (0 through 9) only and maximum number of digits allowed are 15.
Monitor Tag/IMEI (imei),Monitor Tag/IMEI,imei,International Mobile Equipment Identity (IMEI) is a unique 15 or 16 digit number allocated to each mobile station equipment.
Start Time (start),Start Time,start,Time of session start.
Elapsed Time (elapsed),Elapsed Time,elapsed,Elapsed time of the session.
"Tunnel Inspection Rule
(tunnel_insp_rule)",Tunnel Inspection Rule,tunnel_insp_rule,Name of the tunnel inspection rule matching the cleartext tunnel traffic
