Field Name,Field Name lookup,Variable Name,Description
Remote User IP (remote_user_ip),Remote User IP,remote_user_ip,IPv4 or IPv6 address used by a remote user.
Remote User ID (remote_user_id),Remote User ID,remote_user_id,"IMSI identity of a remote user, and if available, one IMEI identity and/or one MSISDN identity."
UUID for rule (rule_uuid),UUID for rule,rule_uuid,Universally Unique ID for rule.
PCAP ID (pcap_id),PCAP ID,pcap_id,Unique packet capture ID that is used to locate the pcap file saved on the firewall.
High Resolution Timestamp (high_res_timestamp),High Resolution Timestamp,high_res_timestamp,"Time in milliseconds the log was received at the management plane.

The format for this new field is YYYY-MM-DDThh:ss:sssTZD:

YYYY—Four digit year

MM—Two-digit month

DD—Two-digit day of the month (01 through 31)

T—Indicator for the beginning of the timestamp

hh—Two-digit hour using 24-hour time (00 through 23)

mm—Two-digit minute (00 through 59)

ss—Two-digit second (00 through 60)

sss—One or more digits for millisecond

TZD—Time zone designator (+hh:mm or -hh:mm)

FM Dita Overlay for Notes Component

The High Resolution Timestamp is supported for logs received from managed firewalls running PAN-OS 11.1 and later releases. Logs received from managed firewalls running PAN-OS 9.1 and earlier releases display a 1969-12-31T16:00:00:000-8:00 timestamp regardless of when the log was received."
A Slice Service Type (nsdsai_sst),A Slice Service Type,nssai_sst,The A Slice Service Type of the Network Slice ID.
A Slice Differentiator (nsdsai_sd),A Slice Differentiator,nssai_sd,The A Slice Differentiator of the Network Slice ID.
Application Subcategory (subcategory_of_app),Application Subcategory,subcategory_of_app,The application subcategory specified in the application configuration properties.
Application Category (category_of_app),Application Category,category_of_app,"The application category specified in the application configuration properties. Values are:

business-systems

collaboration

general-internet

media

networking

saas"
Application Technology (technology_of_app),Application Technology,technology_of_app,"The application technology specified in the application configuration properties. Values are:

browser-based

client-server

network-protocol

peer-to-peer"
Application Risk (risk_of_app),Application Risk,risk_of_app,Risk level associated with the application (1=lowest to 5=highest).
Application Characteristic (characteristic_of_app),Application Characteristic,characteristic_of_app,Comma-separated list of applicable characteristic of the application
Application Container (container_of_app),Application Container,container_of_app,The parent application for an application.
Application SaaS (is_saas_of_app),Application SaaS,is_saas_of_app,Displays 1 if a SaaS application or 0 if not a SaaS application.
Application Sanctioned State (sanctioned_state_of_app),Application Sanctioned State,sanctioned_state_of_app,Displays 1 if application is sanctioned or 0 if application is not sanctioned.
Application Subcategory (subcategory_of_app),Application Subcategory,subcategory_of_app,The application subcategory specified in the application configuration properties.
