Field Name,Field Name lookup,Variable Name,Description
Cloud (cloud),Cloud,cloud,"Only for WildFire subtype; all other types do not use this field.

The cloud string displays the FQDN of either the WildFire appliance (private) or the WildFire cloud (public) from where the file was uploaded for analysis."
URL Index (url_idx),URL Index,url_idx,"When an application uses TCP keepalives to keep a connection open for a length of time, all the log entries for that session have a single session ID. In such cases, when you have a single threat log (and session ID) that includes multiple URL entries, the url_idx is a counter that allows you to correlate the order of each log entry within the single session.

For example, to learn the URL of a file that the firewall forwarded to WildFire for analysis, locate the session ID and the url_idx from the WildFire Submissions log and search for the same session ID and url_idx in your URL filtering logs. The log entry that matches the session ID and url_idx will contain the URL of the file that was forwarded to WildFire."
User Agent (user_agent),User Agent,user_agent,"The User Agent field specifies the web browser that the user used to access the URL, for example Internet Explorer. This information is sent in the HTTP request to the server."
File Type (filetype),File Type,filetype,"Only for WildFire subtype; all other types do not use this field.

Specifies the type of file that the firewall forwarded for WildFire analysis."
X-Forwarded-For (xff),X-Forwarded-For,xff,"The X-Forwarded-For field in the HTTP header contains the IP address of the user who requested the web page. It allows you to identify the IP address of the user, which is useful particularly if you have a proxy server on your network that replaces the user IP address with its own address in the source IP address field of the packet header.

FM Dita Overlay for Notes Component

Based on different appliance implementations, the XFF field may contain non-IP address values."
Referer (referer),Referer,referer,The Referer field in the HTTP header contains the URL of the web page that linked the user to another web page; it is the source that redirected (referred) the user to the web page that is being requested.
Sender (sender),Sender,sender,Specifies the name of the sender of an email.
Subject (subject),Subject,subject,Specifies the subject of an email.
Recipient (recipient),Recipient,recipient,Specifies the name of the receiver of an email.
Report ID (reportid),Report ID,reportid,"Only for Data Filtering and WildFire subtype; all other types do not use this field.

Identifies the analysis request on the firewall, WildFire cloud, or the WildFire appliance."
Device Group Hierarchy (dg_hier_level_1 to dg_hier_level_4),Device Group Hierarchy,dg_hier_level_1,"A sequence of identification numbers that indicate the device group’s location within a device group hierarchy. The firewall (or virtual system) generating the log includes the identification number of each ancestor in its device group hierarchy. The shared device group (level 0) is not included in this structure.

If the log values are 12, 34, 45, 0, it means that the log was generated by a firewall (or virtual system) that belongs to device group 45, and its ancestors are 34, and 12. To view the device group names that correspond to the value 12, 34 or 45, use one of the following methods:

API query: FM Dita Overlay for Code

/api/?type=op&cmd=<show><dg-hierarchy></dg-hierarchy></show>"
Virtual System Name (vsys_name),Virtual System Name,vsys_name,The name of the virtual system associated with the session; only valid on firewalls enabled for multiple virtual systems.
Device Name (device_name),Device Name,device_name,The hostname of the firewall on which the session was logged.
Source VM UUID (src_uuid),Source VM UUID,src_uuid,Identifies the source universal unique identifier for a guest virtual machine in the VMware NSX environment.
Destination VM UUID (dst_uuid),Destination VM UUID,dst_uuid,Identifies the destination universal unique identifier for a guest virtual machine in the VMware NSX environment.
HTTP Method (http_method),HTTP Method,http_method,"Describes the HTTP Method used in the web request. Only the following methods are logged: Connect, Delete, Get, Head, Options, Post, Put."
Tunnel ID/IMSI (tunnel_id/imsi),Tunnel ID/IMSI,tunnel_id/imsi,International Mobile Subscriber Identity (IMSI) is a unique number allocated to each mobile subscriber in the GSM/UMTS/EPS system. IMSI shall consist of decimal digits (0 through 9) only and maximum number of digits allowed are 15.
Monitor Tag/IMEI (monitortag/imei),Monitor Tag/IMEI,monitortag/imei,International Mobile Equipment Identity (IMEI) is a unique 15 or 16 digit number allocated to each mobile station equipment.
Parent Session ID (parent_session_id),Parent Session ID,parent_session_id,ID of the session in which this session is tunneled. Applies to inner tunnel (if two levels of tunneling) or inside content (if one level of tunneling) only.
Parent Session Start Time (parent_start_time),Parent Start Time,parent_start_time,Year/month/day hours:minutes:seconds that the parent tunnel session began.
Tunnel Type (tunnel),Tunnel Type,tunnel,"Type of tunnel, such as GRE or IPSec."
Threat Category (thr_category),Threat Category,thr_category,"Describes threat categories used to classify different types of threat signatures.

If a domain external dynamic list generated the log, domain-edl populates this field."
Content Version (contentver),Content Version,contentver,Applications and Threats version on your firewall when the log was generated.
SCTP Association ID (assoc_id),SCTP Association ID,assoc_id,Number that identifies all connections for an association between two SCTP endpoints.
Payload Protocol ID (ppid),Payload Protocol ID,ppid,"ID of the protocol for the payload in the data portion of the
data chunk."
HTTP Headers (http_headers),HTTP Headers,http_headers,Indicates the inserted HTTP header in the URL log entries on the firewall.
URL Category List (url_category_list),URL Category List,url_category_list,Lists the URL filtering categories that the firewall used to enforce policy.
Rule UUID (rule_uuid),Rule UUID,rule_uuid,The UUID that permanently identifies the rule.
HTTP/2 Connection (http2_connection),HTTP/2 Connection,http2_connection,"Identifies if traffic used an HTTP/2 connection by displaying one of the following values:

TCP connection session ID—session is HTTP/2

0—session is not HTTP/2"
Dynamic User Group Name (dynusergroup_name),Dynamic User Group Name,dynusergroup_name,The name of the dynamic user group that contains the user who initiated the session.
XFF Address (xff_ip),XFF Address,xff_ip,"The IP address of the user who requested the web page or the IP address of the next to last device that the request traversed. If the request goes through one or more proxies, load balancers, or other upstream devices, the firewall displays the IP address of the most recent device.

FM Dita Overlay for Notes Component

Based on different appliance implementations, the XFF field may contain non-IP address values."
Source Device Category (src_category),Source Device Category,src_category,The category for the device that Device-ID identifies as the source of the traffic.
Source Device Profile (src_profile),Source Device Profile,src_profile,The device profile for the device that Device-ID identifies as the source of the traffic.
Source Device Model (src_model),Source Device Model,src_model,The model of the device that Device-ID identifies as the source of the traffic.
Source Device Vendor (src_vendor),Source Device Vendor,src_vendor,The vendor of the device that Device-ID identifies as the source of the traffic.
Source Device OS Family (src_osfamily),Source Device OS Family,src_osfamily,The operating system type for the device that Device-ID identifies as the source of the traffic.
Source Device OS Version (src_osversion),Source Device OS Version,src_osversion,The version of the operating system for the device that Device-ID identifies as the source of the traffic.
Source Hostname (src_host),Source Hostname,src_host,The hostname of the device that Device-ID identifies as the source of the traffic.
Source MAC Address (src_mac),Source MAC Address,src_mac,The MAC address for the device that Device-ID identifies as the source of the traffic.
Destination Device Category (dst_category),Destination Device Category,dst_category,The category for the device that Device-ID identifies as the destination for the traffic.
Destination Device Profile (dst_profile),Destination Device Profile,dst_profile,The device profile for the device that Device-ID identifies as the destination for the traffic.
Destination Device Model (dst_model),Destination Device Model,dst_model,The model of the device that Device-ID identifies as the destination for the traffic.
Destination Device Vendor (dst_vendor),Destination Device Vendor,dst_vendor,The vendor of the device that Device-ID identifies as the destination for the traffic.
Destination Device OS Family (dst_osfamily),Destination Device OS Family,dst_osfamily,The operating system type for the device that Device-ID identifies as the destination for the traffic.
Destination Device OS Version (dst_osversion),Destination Device OS Version,dst_osversion,The version of the operating system for the device that Device-ID identifies as the destination for the traffic.
Destination Hostname (dst_host),Destination Hostname,dst_host,The hostname of the device that Device-ID identifies as the destination for the traffic.
Destination MAC Address (dst_mac),Destination MAC Address,dst_mac,The MAC address for the device that Device-ID identifies as the destination for the traffic.
Container ID (container_id),Container ID,container_id,The container ID of the PAN-NGFW pod on the Kubernetes node where the application POD is deployed.
POD Namespace (pod_namespace),POD Namespace,pod_namespace,The namespace of the application POD being secured.
POD Name (pod_name),POD Name,pod_name,The application POD being secured.
Source External Dynamic List (src_edl),Source External Dynamic List,src_edl,The name of the external dynamic list that contains the source IP address of the traffic.
Destination External Dynamic List (dst_edl),Destination External Dynamic List,dst_edl,The name of the external dynamic list that contains the destination IP address of the traffic.
Host ID (hostid),Host ID,hostid,Unique ID GlobalProtect assigns to identify the host.
User Device Serial Number (serialnumber),User Device Serial Number,serialnumber,Serial number of the user’s machine or device.
Domain EDL (domain_edl),Domain EDL,domain_edl,The name of the external dynamic list that contains the domain name of the traffic.
Source Dynamic Address Group (src_dag),Source Dynamic Address Group,src_dag,Original session source dynamic address group.
Destination Dynamic Address Group (dst_dag),Destination Dynamic Address Group,dst_dag,Original destination source dynamic address group.
Partial Hash (partial_hash),Partial Hash,partial_hash,Machine Learning partial hash.
